level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3
101,1,27,27,1120,292400,843,1,0,5,5,4,0,4,20,1089,6384060,1861817,4021270,0,14,20,1,12,12,930,135000,866,1,0,0,0,1,0,1,20,391,7,44,1,13,13,930,306000,1049,1,0,10,3,3,0,2,30,629,7
97,1,19,19,201,169160,430,1,0,3,2,7,0,2,19,956,6756685,4629163,0,0,0,48,9,0,0,456,155540,515,8,0,2,1,9,0,5,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,28,36,36,1860,810700,2206,2,0,2,1,25,0,8,40,2135,12503386,6441596,9864986,0,10,95,8,13,13,1888,607200,1454,1,0,0,0,12,0,5,71,1135,4,24,0,23,23,830,345000,852,0,0,44,24,6,0,5,0,420,1
142,47,34,34,0,1087400,2102,0,0,10,10,6,0,6,93,2163,13722916,2359724,11146363,0,13,18,16,0,0,0,105000,655,2,0,3,2,3,0,5,26,396,1,82,46,29,29,3530,1304000,2173,10,0,0,0,11,0,6,50,1466,14
49,1,0,0,0,29600,82,0,0,0,0,1,0,3,15,399,1957436,1731382,6614107,0,0,32,0,0,0,0,86760,179,0,0,1,1,0,0,3,12,283,0,72,10,0,0,845,447340,858,0,0,2,1,0,0,2,69,949,0
125,16,28,28,1060,472400,943,0,0,26,17,14,0,10,40,1654,15242194,39585010,5003675,0,8,123,38,13,13,2270,1335000,3046,0,0,1,0,14,0,5,159,2313,12,49,7,20,20,1500,363000,585,0,0,1,0,8,0,4,1,700,1
147,50,2,2,978,413100,1329,1,0,21,7,8,0,28,53,1750,13051477,7793251,4838077,0,9,41,14,50,50,1445,431100,1900,0,0,6,1,8,0,18,87,1305,10,63,9,17,17,1196,570100,1130,0,0,3,1,7,0,20,13,792,6
90,0,7,7,0,193700,721,0,0,19,15,6,0,3,26,833,6772292,14163493,5977553,0,12,155,1,15,15,2800,848700,2002,0,0,17,14,6,0,1,49,1495,7,67,0,2,2,0,360000,819,0,0,7,5,2,0,3,0,443,3
45,0,0,0,0,24000,0,0,0,0,0,0,0,3,0,302,2388760,5891607,8774207,0,0,106,0,10,10,557,283300,823,0,0,0,0,3,0,2,0,753,8,109,1,4,4,1680,564800,1225,1,0,0,0,9,0,0,0,912,4
562,67,40,40,3970,2910700,4855,60,1,47,31,22,0,9,95,4676,38423955,6816356,18565870,0,14,90,21,20,20,2220,722000,1507,0,2,0,0,2,0,4,11,1016,6,386,86,20,20,4428,3362000,4146,5,3,4,0,11,0,9,79,3614,8
233,9,1,1,500,997500,2575,0,0,41,19,10,0,19,130,2477,23978890,4063187,8165217,0,12,83,0,0,0,250,195000,1013,0,0,0,0,2,0,12,0,538,5,31,8,34,34,760,315000,1791,2,0,1,0,5,0,15,64,976,9
126,2,0,0,700,247820,953,0,0,1,1,13,0,3,29,1055,9597019,10880754,7149647,0,4,12,1,0,0,100,149580,531,0,0,22,13,7,0,2,15,266,0,13,0,0,0,1200,195000,539,0,0,13,3,4,0,2,20,311,4
80,0,0,0,400,125520,416,0,0,2,2,12,0,6,10,685,713256,480958,1513250,0,11,21,0,0,0,540,68580,323,0,0,0,1,5,0,7,0,188,0,38,0,14,14,540,173700,844,0,0,0,0,3,0,3,10,434,6
164,66,12,12,1180,532500,1061,1,0,30,11,4,0,3,22,1641,15064524,11585364,6923334,0,7,102,36,20,20,1560,902500,1745,0,0,18,10,3,0,1,31,1325,7,76,75,10,10,1380,777000,958,1,2,2,1,1,0,1,10,1079,7
165,16,2,2,1350,395600,962,12,0,50,20,0,0,6,10,1344,15186941,8387088,4604050,0,10,99,13,21,21,1109,819600,1220,11,0,9,1,0,0,4,81,1449,6,20,9,20,20,800,362000,1188,9,0,0,0,3,0,4,80,849,7
187,0,20,20,300,622400,1268,0,0,41,20,0,0,11,40,1678,19092841,3446538,3553473,0,6,59,0,20,20,0,180000,935,0,1,0,0,0,0,5,25,614,3,48,0,0,0,0,122000,900,0,0,0,0,0,0,4,80,760,4
60,1,6,6,450,96500,308,0,0,0,0,2,0,2,31,625,2983859,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,3720,0,0,0,0,0,0,0,2,0,95,423633,3284286,11360337,0,0,38,0,7,7,600,78680,432,0,0,1,1,1,0,4,15,406,6,81,16,30,30,430,495600,1907,0,0,8,6,4,0,6,72,1260,8
502,2,25,25,0,2076500,4259,0,3,79,63,12,3,1,120,4111,37594998,12584511,7516155,0,12,162,0,0,0,4500,540000,1438,0,1,25,21,3,0,1,13,1082,1,44,0,28,28,250,258000,1843,0,0,17,15,1,0,0,117,1188,6
101,6,1,1,850,181220,531,6,0,2,2,17,0,3,24,869,4040786,2524286,935127,0,10,32,7,11,11,720,200080,679,1,0,2,2,6,0,3,10,420,7,14,1,10,10,130,87000,182,0,0,0,0,2,0,2,0,171,0
