"gaid","country","level_cnt","ads_cnt","pvp_cnt","pvp_won_cnt","gem_spend","coin_spend","gem_earn","ads_reward_cnt","org_hero_cnt","level_e_try_cnt","level_e_cnt","idle_cnt","purchase_times","login_cnt","level_h_cnt","log_num","d1_duration","d2_duration","d3_duration"
"663ee540-83c1-40a8-aab1-d5ec7a5c5a8a","US","309","155","41","41","1730","2004800","4023","86",,"8","6","15",,"6","108","3871","5835970","14829833","4197966"
"0bc6c92c-9778-4a0d-8773-c552e34b0e71","US","457","135","55","55","5925","3211500","6113","66","1","6","3","12",,"16","220","5808","14453804","18790274","8846804"
"14688f40-10e8-48a7-853b-cfa4ae8ecbe2","US","137","87","1","1","400","619400","798","73",,"4","3","3",,"4","8","1492","4808366","5961378",
"76c0afb2-206b-4136-b9e0-6287cdc16921","US","143","109","11","11","1871","1089200","1581","24",,"2","1","8",,"5","91","2304","1828878","1556880","13095564"
"d39657db-8b93-442e-902e-5d429f11e4ff","US","422","142","63","63","5704","3267000","5549","141","2","8","3","34",,"13","240","5487","6785050","9040606","14002418"
"35d84cee-0630-47cc-90ff-9041689adec3","US","199","8","2","2","2150","751200","2408",,,"52","29","12",,"8","28","1708","11614059","4514366","5796081"
"c80d874b-624e-491e-a176-20e410f4331f","US","90","50","12","12","800","487400","1265","5",,"4","3","8",,"6","80","1517","3679947","2800521","3155179"
"f16524d1-9eda-483b-b4ed-bc5ab0e88b4f","US","126","7","12","12","400","409400","1694","7","1","15","10","22",,"11","30","1220","4089578","2517451","1441883"
"94a9da7c-adfc-4667-a989-2119c1431dfb","US","680","66","37","37","12988","3723400","12681","30","4","4","4","31","4","29","136","6228","10154642","22148021","7288847"
"ee5445dc-170a-49ac-902b-1dfe8d4a85a9","US","42","13",,,,"55400","216","3",,,,"5",,"6","8","445","709062","1770362",
"626da7ff-7452-4ef5-a55f-5e6c808b9444","US","105","66",,,"642","399900","1270","13","1","2","2","10",,"9","37","1392","5838192","1205538","1320791"
"69c86d5a-0ce1-4956-8957-fe6211006dd3","US","49","2",,,"95","68620","168",,,,,,,"4","42","598","8460303","1617622","47756"
"87abdc2f-9c22-43da-820a-587f80ff644d","US","298","86","58","58","4910","2333600","4721","46","2","5","3","30",,"12","205","4083","4964235","8686326","6129411"
"da1d1c7d-efd5-4d85-84a7-fd599d9ccfa2","US","245","158",,,"1500","1629400","3588","156","1","20","16","14","2","13","80","3071","10980739","13744293","2329890"
"6570e2fe-d8fe-47f6-bff7-be9e55b7bc05","US","148","131",,,"0","757400","790","120",,"32","18","1",,"2","11","1942","15313591","4912942",
"bf07bf39-44b7-4bc7-9621-03423803e22a","US","204","15","14","14","6165","1061300","5941","4","2","12","10","64","1","23","125","2517","9202992","9992507","10782699"
"3044c744-ef9d-48fe-836b-207de8ab1bc0","US","54","2",,,"350","46220","204",,,,,"18",,"5","1","420","2680007","84813","266386"
"3a0a6c46-7c3d-411d-bc1d-9616879fb0a2","US","715","4","45","45","5750","3191400","7616","1","1","34","18","28",,"8","161","5769","17217849","20316554","3716353"
"ba72bd4a-4d0d-4cc0-92a0-2e9689b06c28","US","185","20","41","41","3100","907700","2700","2",,"22","13","32",,"7","105","2543","12729626","6258357",
"ef7c82a0-496e-4934-955a-a6402e3ddfeb","US","163","13",,,"1870","545700","1594","4","1",,,"21",,"9","11","1489","6686558","3377852","990555"
"57183b93-bb04-4d14-bc2a-859f813b0a1f","US","95","180","27","27","1499","1301800","1475","180",,"6","4",,,"10","144","3011","4133487","5238402","19643948"
"0cd9cd37-718c-4056-b7c3-6f1217a2248c","US","169","45","14","14","2098","749000","2094","45","1","3","3","26",,"6","36","1821","4202067","4176468","4090449"
"de1b0556-e910-45c5-853e-3cfd73a1d512","US","150","156",,,"2070","1006300","2150","154",,"3","2","32",,"16","52","2518","9876722","3408214","4709807"
"c2b6a904-42bf-4bf3-a9da-635ca218ff6c","US","457","23","75","75","5100","2276200","4723","5","1","16","10","13",,"13","93","4812","14326831","12302932","5769311"
"be86be39-135b-4151-8a1b-cae39730fcdc","US","72","4","9","9","900","169660","702",,,"4","4","4",,"4","47","880","1392747","3306422","212774"
"dcc061d3-e1b9-401d-b971-ce749b0975fb","US","165","41","42","42","1810","753100","2483","20",,"12","9","6",,"13","57","2138","6146322","8900107","6069479"
"5fd898ce-24e8-4d31-b66f-ef596363cbdc","US","150","9","10","10","2000","547700","1907","9",,"17","15","15",,"6","40","1458","6399697","2046507","3711855"
"52be18ed-53c3-40d6-9279-b0c158e430b7","US","366","154","31","31","4519","2584300","4384","22","1","59","40","20",,"14","47","3973","18531366","16709777","2203390"
"bed8f0ee-c7fc-4243-88ff-589a8789fa7f","US","239","131","21","21","2500","1584400","2687","112",,"7","6","21",,"9","35","2859","4898523","7432052","1567180"
"a6c60209-a992-4240-a0d2-4cc5b621f94c","US","210","6","20","20","3350","1222400","2976",,"2","30","15","97",,"6","117","2601","12780268","13714540","513740"
"7272fb79-ea5c-4524-8169-e3846cd65750","US","153",,,,"720","385900","1300",,,,,"8",,"3","29","1161","2291078","5797021","1527529"
"8a8d4da0-a2d6-45eb-b859-3cdb377f88ec","US","130","3",,,"650","307500","1070","1",,,,"4",,"9","20","983","1960806","737382","4023922"
"c37a65b7-9128-41be-8b11-5f624d1c56dc","US","508","92","26","26","4530","3136800","4286","86","4","7","5","1",,"17","110","4888","10417600","16195570","15167103"
"abcd2444-058d-43f1-8f6c-f56da6906476","US","489","23","48","48","4204","2712800","5853",,"1","15","12","19",,"16","264","5094","13781448","13714148","633760"
"82aad724-7695-4203-8a9c-fbde8bb0b910","US","138","5","28","28","900","366700","1302","2",,"14","5","22",,"5","41","1478","14634123","4133275",
"103bc0c2-1346-400b-9183-4a64acf1464b","US","290","106",,,"0","1807400","2897","24","2","6","4",,,"17","160","3541","3714296","7019522","8140371"
"affe2c73-9347-45da-aae8-d91c69ad4c28","US","209","7","24","24","1454","846000","2380",,,"89","22","12",,"11","63","2133","12886125","8771066","6526982"
"25c345f3-d66f-447c-84e9-ae88481e9a7e","US","164","8","1","1","430","502400","1947",,,"19","10","17",,"13","55","1561","4407821","4167427","4970540"
"bcb81743-776d-41e9-b1cf-ab32bb4f4c40","US","54",,,,,"34620","18",,,,,,,"2","2","391","5560619","2433481",
"06384e1e-c096-48c7-9d8f-beab2306058c","US","181","34","93","93","7740","1490700","7979","26","7",,,"19","8","13","15","2579","4276472","9643842","3809231"
"3f83925f-3b29-4673-841c-e3693f6c66ed","US","100","116","44","44","2099","675000","1699","77","1","4","3","14",,"6","30","2115","8928258",,"3244430"
"78a04bb7-e30b-47af-9f4f-018f6854d901","US","125",,"20","20","1460","379000","1124",,,"4","3","9",,"16","20","1252","337675","1626080","5143326"
"9abf7c6b-84e4-4086-9ae8-eb88fd7b9a98","US","672","149","98","98","3590","4486000","9715","110","4","42","20","55","2","32","200","7718","28600425","13471891","7001222"
"5dd1d837-eac6-4fe1-9333-b00d5774bb52","US","163","87",,,"2160","1297600","2646","1",,"19","11","17",,"9","76","2307","2580112","10876412","4913973"
"d3927272-6fa3-4755-9604-2a85836fb238","US","176","177","5","5","320","1018400","1619","152",,"2","2","11",,"7","42","2666","9873023","4831583","2151678"
"3c1d940e-c7d8-4c8e-be40-0da580465c36","US","266","247","26","26","2310","1933700","3266","80","1","18","11","45","2","54","57","4235","9120531","29166699","4740199"
"5a9b8cc4-b355-4390-b9f0-65b1859c85df","US","375","173","50","50","1850","2860600","3868","173",,"6","4",,,"14","200","5227","1768671","15614455","17106338"
"d4237eca-f01b-478a-998d-f2c180e40d2a","US","105","1","9","9","1080","619400","1794","1","1","27","18","7",,"11","120","1619","3088626","5999311","4038526"
