"gaid","country","level_cnt","ads_cnt","pvp_cnt","pvp_won_cnt","gem_spend","coin_spend","gem_earn","ads_reward_cnt","org_hero_cnt","level_e_try_cnt","level_e_cnt","idle_cnt","purchase_times","login_cnt","level_h_cnt","log_num","d1_duration","d2_duration","d3_duration","willpay","daily_task_cnt"
"9cb87638-7a0b-4a56-bf94-cdbba9244f1e","TR","131","21","13","13","750","618300","1531","21","1","32","22","7",,"5","120","1853","2017113","4804322","9825551",,"11"
"5e08bf33-b368-40e0-aabb-0b01dfb3bc82","RU","247","197","39","39","2600","1931000","2454","27",,"6","5","41",,"4","25","3310","2921366","4730755","12682574",,"21"
"3a70d228-a326-4368-aa26-d65fb766d327","BR","201","58","26","26","540","1102400","2169","1","1","31","23","18",,"4","65","2261","19532070","148562",,,"14"
"cc9cb53f-cee3-4ed9-abe2-48397b68e7b4","ES","240","8",,,"1487","1071700","2184","1",,"15","7","51",,"27","81","2449","20287276","6682282",,,"6"
"ab179d8f-a392-4d88-9edf-ee297c59ac0d","DE","70",,,,"100","73960","284",,,"15","10","1",,"3","5","568","6032158","1462300",,,"6"
"b86795b3-ed4d-49c2-8eeb-156ecdd7c6ac","CZ","135","94",,,"1500","1282400","2001","53",,"5","4","7",,"2","160","2482","14490504","1802747",,,"12"
"093a0cc6-9e32-448e-8ead-09e8ae38a536","TR","71","1",,,,"64320","206","1",,"5","2","3",,"4","2","521","4092486","1446456",,,
"a45bf65d-9c34-4e75-b1b4-a3d85c81c9d7","GR","91","2","10","10","0","733820","2120","1",,"32","21","16",,"9","143","1701","2363749","11276793","3974097",,"22"
"d2586219-1916-4afa-a400-0c8e564c37cb","UA","120","4","1","1","550","322400","910","4",,"36","22","4",,"7","40","1124","7799572","6155077","1583261",,"8"
"300a901a-c28c-498e-8e4e-bc4d317795b1","UZ","83","14","24","24","250","169160","395",,,"51","19","2",,"9","40","1201","14055616","3089466","4132592",,"5"
"11b50948-3dd2-4cff-a1c6-ce85948d32a2","HR","130","2",,,"840","381320","1395",,,"36","20","20",,"5","16","1073","3686791","8481396",,,"16"
"41497d3f-169a-440e-a937-ae426157c609","VN","154",,,,"500","1042400","3018",,,"70","20","10",,"23","237","2686","7851459","2178685","5648480",,"20"
"24a82ff5-bfbd-4ab0-b3b1-48bf6923aac7","VN","71","4","8","8","182","103620","371",,,,,"15",,"2","40","804","5522931",,,,"5"
"4087a40a-e78f-474f-8a2d-810bb216d7fd","LA","30",,,,,"10920",,,,,,,,"1",,"187","1292933",,,,
"5ae5964e-613b-4871-9b2a-47613e81b213","PH","175","11","22","22","2416","652100","2397","6",,"18","8","10",,"23","43","1799","5445956","5971443","3545449",,"27"
"fcadaaa8-61d9-4c00-848b-fcb1a18b2014","AR","131","77","10","10","1020","712400","2154","20",,"25","14","10",,"19","116","2395","6132999","13635161","5113583",,"18"
"1bf7d930-7fb8-4093-a6bf-d6a42c126cfd","ES","152","10",,,"1268","421200","1414","9",,"2","2","23",,"15","32","1402","6724157","3335616","1805457",,
