level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,0
63,110,12,12,0,307400,328,109,0,0,0,11,0,4,40,1539,9836372,1293401,17882092,0,7,7,13,0,0,60,105000,340,14,0,1,1,2,0,3,6,213,5,89,173,21,21,2320,1424500,1596,172,0,5,4,13,0,8,77,2437,7,0
15,0,0,0,0,10920,31,0,0,0,0,0,0,3,6,155,768670,2206702,57898,0,1,35,0,3,3,400,76880,278,0,0,0,0,2,0,3,41,512,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
10,0,0,0,0,2160,0,0,0,0,0,0,0,1,0,74,538674,0,2874588,0,0,0,0,0,0,0,8860,48,0,0,0,0,1,0,0,0,0,1,25,0,11,11,788,136680,350,0,0,0,0,2,0,2,40,563,7,0
16,0,0,0,100,10920,19,0,0,0,0,0,0,1,1,136,745621,1243137,65431,0,1,20,0,1,1,350,33500,75,0,0,0,0,1,0,3,0,183,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,0,0
10,0,0,0,0,2160,0,0,0,0,0,1,0,2,0,76,350308,6641699,0,0,0,97,3,0,0,0,165100,375,0,0,11,6,2,0,1,10,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,0,0,250,8100,0,0,0,0,0,2,0,1,0,105,607725,0,39913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,16,140944,0,7981197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,44,0,0,0,193700,340,0,0,7,5,1,0,2,24,853,6,0
1,1,0,0,0,0,295,0,0,0,0,0,0,1,2,50,268938,4616889,0,0,1,8,13,10,10,0,120000,328,0,0,4,2,1,0,0,20,351,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,205316,24816174,18841473,0,0,180,88,22,22,100,767100,1263,0,0,29,17,23,0,2,40,2036,11,172,8,4,4,0,1002000,1936,0,0,4,2,16,0,5,20,1363,7,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,59180,17112384,11271214,0,0,175,157,18,18,1790,1245300,1434,66,0,10,8,12,0,5,35,2401,12,92,97,23,23,2000,1202000,2048,11,3,3,2,9,0,7,11,1350,7,0
166,2,21,21,1228,532400,1457,1,0,33,11,20,0,15,51,1636,13239685,8701170,3915872,0,12,98,6,28,28,1730,660000,2103,4,0,9,4,16,0,20,64,1325,7,40,10,10,10,1200,420000,1082,10,0,0,0,10,0,11,40,657,7,0
38,79,3,3,540,219920,278,39,0,0,0,6,0,3,40,1105,5173962,4131599,3336914,1,6,39,55,12,12,0,321480,402,30,0,4,3,3,0,6,10,786,6,5,46,0,0,0,450000,507,24,0,1,0,2,0,1,70,790,1,0
147,5,20,20,500,360160,1162,0,0,78,43,5,0,3,40,1517,15553740,7461143,9895902,0,7,89,1,20,20,2250,997440,2276,0,0,15,9,4,0,3,80,1247,6,85,1,13,13,2700,963500,2088,0,1,24,19,5,0,5,80,1321,8,0
115,163,30,30,3000,939400,2726,44,5,52,24,27,7,10,40,3049,28161526,40095989,23912775,15,7,138,155,31,31,2210,1845200,2731,85,2,80,43,63,2,16,10,2842,7,97,187,30,30,4000,2467000,3472,119,3,0,0,42,3,15,83,2958,7,0
13,0,0,0,0,8100,30,0,0,0,0,2,0,1,0,100,463367,4898181,1489058,0,2,50,3,0,0,700,130500,333,0,0,0,0,8,0,0,40,609,6,7,0,0,0,200,45720,316,0,0,0,0,2,0,1,10,129,3,0
