country,level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
ID,56,0,0,0,0,50600,91,0,0,0,0,10,0,2,0,383,2681128,130292,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
UA,40,0,0,0,0,28400,92,0,0,0,0,3,0,2,5,299,1781292,3707113,2191478,0,5,39,1,30,30,860,172800,419,1,0,0,0,2,0,2,25,695,4,22,3,20,20,998,147620,1004,3,0,1,1,3,0,6,18,474,6,1,1,1,1
MX,8,0,0,0,0,3720,0,0,0,0,0,0,0,3,0,63,1168761,4686705,0,0,0,46,0,0,0,0,32940,0,0,0,0,0,3,0,1,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
US,108,3,0,0,0,191700,528,0,0,12,5,0,0,2,40,1026,10133938,10214708,1660835,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,0,26,0,0,0,0,83700,130,0,0,0,0,0,0,4,4,195,0,1,1,1,1
KR,75,53,0,0,300,219920,363,28,0,0,0,0,0,1,37,1015,6270958,1890984,0,0,5,16,17,5,5,0,102480,135,17,0,3,2,0,0,1,0,262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
US,51,59,0,0,0,125120,168,17,0,0,0,5,0,1,10,800,6824612,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
US,131,10,0,0,900,502400,1144,10,0,52,22,5,0,1,83,1507,15991017,1203844,0,0,11,9,0,0,0,0,30000,0,0,0,10,0,0,0,1,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BR,75,10,0,0,250,134720,351,0,0,6,5,6,0,1,22,686,4035985,8817699,1018135,0,6,124,38,0,0,1750,864780,1323,0,0,10,6,8,0,2,18,1207,4,6,0,2,2,480,120000,426,0,0,0,0,1,0,2,15,189,2,1,1,1,1
VN,34,0,3,3,0,33720,90,0,0,0,0,3,0,1,0,278,1409100,1843193,0,0,4,12,1,15,15,360,114280,350,0,0,0,0,3,0,0,40,490,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
VN,115,3,0,0,536,196620,689,0,0,10,2,0,0,4,40,1021,7467136,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
