,level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
11727,152,4,4,4,1170,335500,812,1,0,1,1,1,0,4,17,1157,5524786,9828869,1485062,0,7,243,1,19,19,2930,1201500,2950,1,4,0,0,2,0,2,20,1855,12,29,0,10,10,684,267000,664,0,1,0,0,1,0,2,0,344,6,1,1,1,1
11728,210,10,20,20,1000,667400,1331,7,0,31,19,1,0,6,40,1829,12736984,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11729,292,50,0,0,0,1432400,2300,49,0,55,34,14,0,8,5,2500,30105189,21568155,7005526,0,11,92,32,20,20,1600,1005000,1597,31,0,61,31,9,0,2,22,1371,8,30,12,7,7,250,375000,1208,11,0,20,8,5,0,5,16,587,5,1,1,1,1
11730,87,2,1,1,591,150600,452,2,0,7,7,0,0,4,23,737,5610957,497591,0,0,6,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11731,92,39,3,3,896,376700,625,38,0,32,21,22,0,5,40,1195,11895397,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11732,61,2,0,0,0,72160,200,0,0,0,0,35,0,4,2,490,4006042,3915764,0,0,7,10,0,0,0,0,43140,192,0,0,12,9,9,0,1,0,152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
11733,91,0,0,0,741,181220,565,0,0,4,3,3,0,14,15,938,6316123,8473037,257447,0,9,122,14,0,0,420,531180,1453,0,0,1,0,7,0,23,6,1059,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1
11734,118,34,2,2,490,352400,638,0,0,11,8,0,0,4,41,1250,9612215,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11735,366,56,20,20,1359,1392800,2238,7,0,14,9,0,0,4,40,3024,19705434,4436843,0,0,7,34,20,20,20,604,724500,1227,2,0,0,0,3,0,1,80,1037,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11736,138,2,23,23,850,382400,1098,0,0,12,6,15,0,5,40,1340,8895964,1610074,0,0,12,14,0,10,10,250,60000,701,0,0,4,0,2,0,1,0,205,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11737,123,11,0,0,840,243760,474,2,0,11,6,12,0,1,0,909,8439142,0,15198805,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,6,0,0,1130,283740,1103,3,0,14,6,10,0,3,11,582,3,1,1,1,1
11738,55,0,0,0,470,103620,341,0,0,0,0,6,0,3,28,567,3659136,4146219,0,0,7,40,0,0,0,970,321780,1051,0,1,2,1,3,0,4,77,744,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11739,110,0,0,0,286,264300,711,0,0,6,3,1,0,2,50,1038,6395135,57196,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11740,100,40,13,13,550,472500,640,40,0,10,9,1,0,1,48,1308,13207339,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11741,102,12,1,1,250,181220,406,2,0,5,5,1,0,3,14,822,5789097,0,845443,0,4,5,0,0,0,0,25380,120,0,0,1,1,0,0,1,0,46,0,4,0,0,0,0,13320,100,0,0,0,0,0,0,0,0,28,2,1,1,1,1
11742,149,2,32,32,1592,556400,1593,1,1,69,34,15,0,14,17,1523,19836799,2099942,494054,0,9,20,0,0,0,1080,147000,792,0,0,7,3,5,0,7,0,232,4,2,0,4,4,0,15000,8,0,0,1,0,1,0,3,0,44,0,1,1,1,1
