level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
42,19,5,5,400,105620,176,10,0,0,0,0,0,2,12,547,3032219,0,2248084,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,4,4,430,100500,309,0,0,4,4,0,0,2,7,359,8,1,1,1,0
20,1,0,0,0,8100,4,1,0,0,0,0,0,3,1,201,1255976,2259605,1609342,0,0,43,3,0,0,7,42600,120,0,0,0,0,0,0,7,0,299,0,5,0,0,0,0,13620,0,0,0,6,2,0,0,2,0,74,0,1,1,0,0
60,3,2,2,0,115160,302,2,0,0,0,12,0,6,13,548,6783708,9446497,3857052,0,10,65,35,16,16,1500,519240,1036,17,0,8,6,4,0,2,50,1100,3,25,20,13,13,750,310000,806,7,0,1,0,5,0,3,20,530,7,1,1,1,0
71,131,6,6,0,206600,649,96,0,0,0,31,0,11,47,1655,10588381,2093684,6845303,0,12,9,24,0,0,60,70800,359,24,0,1,1,14,0,8,9,299,3,40,85,5,5,60,405000,959,84,0,1,1,24,0,17,41,1099,5,1,1,1,0
15,0,0,0,0,26400,131,0,0,0,0,3,0,5,21,266,1405976,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,0,1,1,0,10100,0,0,0,0,0,0,0,6,0,225,1217274,2668885,7460973,0,0,27,0,0,0,0,47100,210,0,0,7,5,0,0,2,0,190,4,64,0,0,0,0,295200,480,0,0,15,8,0,0,5,0,460,4,1,1,1,0
5,0,0,0,0,2160,0,0,0,0,0,0,0,1,0,43,328619,11587860,2195770,0,0,65,81,20,20,600,245660,516,81,0,5,3,8,0,6,64,1507,7,10,6,15,15,60,254580,492,6,0,0,0,1,0,1,0,253,6,1,1,1,0
132,179,0,0,400,819400,1024,108,0,63,38,6,0,8,40,2271,26475572,13555467,25657,0,6,69,77,20,20,660,720000,885,65,0,34,26,3,0,3,0,1115,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,1,0
23,0,0,0,350,16260,35,0,0,0,0,1,0,1,0,180,858399,3178034,1992237,0,2,38,4,0,0,199,75940,187,0,0,0,0,3,0,1,12,381,6,21,2,5,5,200,63500,212,1,0,7,3,1,0,1,0,197,1,1,1,1,0
41,2,3,3,100,107520,405,2,0,0,0,2,0,4,57,702,4007354,2135396,2602727,0,10,22,4,12,12,795,144700,352,3,0,0,0,2,0,2,14,387,9,11,2,5,5,720,244580,780,2,0,1,1,4,0,2,31,355,7,1,1,1,0
25,0,0,0,0,31320,98,0,0,0,0,0,0,4,22,360,2012214,368635,435248,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,5,0,0,0,0,5340,0,0,0,0,0,0,0,5,0,58,0,1,1,0,0
7,10,0,0,0,8100,70,5,0,0,0,4,0,1,0,133,670226,0,1168729,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,47100,44,0,0,0,0,4,0,2,1,141,3,0,0,0,0
19,0,0,0,0,5700,0,0,0,0,0,0,0,4,0,135,804504,385733,0,0,0,2,0,0,0,0,8460,32,0,0,0,0,0,0,2,6,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,31685,2665927,0,0,0,60,6,4,4,500,70160,136,6,0,0,0,1,0,1,8,518,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,2160,0,0,0,0,0,1,0,1,0,20,74762,0,8557439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,65,30,30,823,501740,1042,65,0,12,7,3,0,12,15,1574,12,1,1,1,0
309,3,37,37,1460,1102400,2684,0,0,17,10,10,0,3,56,2600,15821983,8440852,6191852,0,13,58,0,25,25,0,747000,1892,0,0,17,13,6,0,1,104,1144,8,55,1,27,27,2260,300000,1337,1,0,12,8,4,0,2,10,640,7,1,1,1,0
124,30,1,1,960,307400,613,29,0,6,5,0,0,6,24,1151,6073180,3438955,59154,0,6,48,24,0,0,660,405000,720,24,0,0,1,0,0,1,0,494,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,1,1,0
278,335,12,12,2420,2338500,2180,331,0,5,4,9,0,4,60,4194,27961702,26461157,6190846,0,12,207,277,0,0,2080,3252200,2326,277,1,0,0,2,0,4,82,3420,6,31,31,15,15,1164,569300,991,31,1,1,1,2,0,3,30,800,8,1,1,1,0
63,0,0,0,0,50600,35,0,0,0,0,0,0,5,0,444,4293032,870355,5175334,0,2,17,0,0,0,0,13620,120,0,0,0,0,0,0,3,0,110,0,0,0,0,0,0,0,20,0,0,20,10,0,0,7,0,80,0,1,1,1,0
103,5,9,9,870,204160,506,3,0,7,3,1,0,3,25,1024,6078421,9440193,4945733,0,6,90,13,31,31,1387,577240,1680,5,0,0,0,0,0,5,50,1297,11,38,5,10,10,800,201000,565,3,0,4,2,0,0,2,0,438,3,1,1,1,0
69,24,4,4,490,194400,501,1,0,8,6,3,0,4,35,890,5796113,9131708,2834767,0,6,30,16,6,6,60,353700,531,0,0,30,21,5,0,3,0,466,6,20,6,12,12,250,90000,362,0,0,8,5,2,0,2,0,277,2,1,1,1,0
85,1,5,5,920,206600,712,0,0,10,9,10,0,3,36,910,6486521,4487207,9364115,0,12,19,1,5,5,310,220800,365,1,0,13,11,6,0,2,10,309,7,99,1,10,10,1640,612000,1672,1,0,10,10,12,0,2,50,996,7,1,1,1,0
117,2,0,0,865,182060,576,0,0,1,1,9,0,2,7,822,10655608,5129786,4392172,0,6,7,0,0,0,200,78660,208,0,0,21,12,2,0,2,0,118,0,1,0,0,0,0,54000,348,0,0,27,8,2,0,2,0,75,1,1,1,1,0
198,19,8,8,1662,550800,1474,18,2,10,5,14,0,19,7,1641,11369213,8046221,1037253,0,8,133,13,16,16,2101,649900,1894,13,1,3,3,17,0,11,7,1241,9,8,1,7,7,490,62000,847,0,1,0,0,6,0,6,0,144,0,1,1,1,0
125,10,2,2,1270,275500,1036,9,0,1,1,21,0,5,37,1115,4856682,10255595,3122890,0,10,195,4,28,28,2620,1112000,2526,4,0,1,1,37,0,6,33,2000,9,53,2,12,12,890,279500,912,0,1,0,0,7,0,4,13,670,6,1,1,1,0
174,11,36,36,1784,576700,1446,2,0,21,11,17,0,7,2,1712,12954097,5267190,2734064,0,11,49,6,8,8,1140,356900,1316,1,1,7,1,7,0,5,26,704,6,24,1,6,6,768,130000,608,0,1,5,2,5,0,2,1,251,2,1,1,1,0
72,7,0,0,490,181320,516,0,0,5,5,4,0,2,40,768,3450585,6388668,4568624,0,5,67,22,20,20,318,426180,865,0,0,7,6,0,0,3,30,865,7,26,25,18,18,260,540000,1185,2,0,0,0,0,0,3,65,808,9,1,1,1,0
71,0,0,0,0,169160,322,0,0,24,17,8,0,4,41,781,7394633,3361357,3672302,0,0,2,0,0,0,0,64500,147,0,0,12,3,1,0,1,10,106,0,111,0,6,6,1620,478740,1604,0,2,2,0,8,0,3,10,846,6,1,1,1,0
153,32,5,5,1005,403720,1032,6,0,0,0,21,0,11,9,1352,8010054,6322008,6119166,0,11,51,26,4,4,1860,579480,1522,0,1,6,3,23,0,10,28,840,8,31,15,11,11,900,358800,845,4,2,3,1,20,0,12,10,572,7,1,1,1,0
96,24,12,12,1001,327600,688,15,0,4,4,0,0,8,40,1134,5707267,3349203,3122812,0,12,39,9,11,11,240,275000,290,2,0,2,2,0,0,3,10,444,0,28,11,16,16,914,285000,1070,4,0,2,2,0,0,2,10,465,9,1,1,1,0
634,46,40,40,5662,2915400,5405,3,2,14,7,25,0,9,81,5072,37648618,10520375,148814,0,14,138,9,20,20,2508,1162000,2526,0,0,2,0,12,0,3,70,1531,6,0,1,0,0,120,0,411,0,0,0,0,3,0,3,0,19,0,1,1,1,0
72,1,0,0,0,88400,321,0,0,0,0,24,0,6,26,678,4828864,2129464,2544959,0,0,37,2,0,0,656,105900,357,1,0,0,0,25,0,4,8,305,0,37,6,0,0,820,126200,445,0,0,0,0,21,0,4,0,318,0,1,1,1,0
38,1,0,0,0,14820,0,0,0,0,0,0,0,3,0,322,2347791,1239115,11081251,0,0,14,0,0,0,0,13480,0,0,0,0,0,0,0,1,0,113,0,147,6,21,21,1483,526100,1121,6,0,0,0,9,0,5,0,1311,5,1,1,1,0
62,0,3,3,510,66320,206,0,0,0,0,2,0,4,30,696,5194801,16893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
89,4,0,0,980,328800,793,0,0,16,7,0,0,4,74,1075,7873578,12420063,465055,0,7,236,0,0,0,1730,887400,1880,0,0,0,0,0,0,8,64,1846,4,10,0,0,0,20,60000,135,0,0,0,0,0,0,1,0,78,3,1,1,1,0
60,0,20,20,250,146300,438,0,0,0,0,2,0,3,52,938,4557793,4175918,5405106,0,12,29,1,20,20,860,251100,991,0,0,13,8,4,0,1,40,617,7,91,0,21,21,10,480000,1536,0,0,8,2,7,0,5,80,1186,7,1,1,1,0
106,5,16,16,1470,311200,1087,5,0,13,10,6,0,7,65,1264,6687780,1034666,177675,0,12,36,0,4,4,180,135000,307,0,0,0,0,3,0,4,0,255,1,6,0,0,0,0,30000,240,0,0,0,0,1,0,1,0,49,0,1,1,1,0
61,0,0,0,100,98700,243,0,0,0,0,8,0,4,35,620,5366719,20574114,3765394,0,3,129,0,0,0,1142,709900,1620,0,0,57,29,11,0,3,80,1408,0,10,0,0,0,60,255000,720,0,0,6,3,2,0,3,0,88,0,1,1,1,0
124,2,0,0,872,222100,724,1,0,1,2,5,0,3,7,858,4992166,1826653,4366587,0,8,24,1,0,0,552,115800,424,1,0,0,0,2,0,2,9,236,2,36,0,0,0,610,210000,637,0,0,2,1,2,0,2,0,411,5,1,1,1,0
105,35,15,15,1410,679300,1548,0,0,59,35,16,0,10,120,1878,16790999,9748547,10209242,0,13,85,39,19,19,2280,935900,2043,20,2,6,2,8,0,5,80,1476,7,160,57,22,22,2714,1569900,2748,12,1,7,5,15,0,9,80,2125,7,1,1,1,0
13,0,0,0,0,2160,0,0,0,0,0,3,0,1,0,91,569883,7509232,4256645,0,0,91,2,14,14,450,231500,541,2,0,7,7,6,0,3,30,866,7,57,3,12,12,1000,340740,1454,3,0,1,1,10,0,4,18,642,7,1,1,1,0
31,0,0,0,0,8100,0,0,0,0,0,0,0,3,0,195,1236374,0,403128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6060,0,0,0,0,0,2,0,2,0,45,0,1,1,0,0
224,3,30,30,1568,760100,1629,3,0,32,17,24,0,5,40,1985,20696901,5624619,6611694,0,7,52,0,19,19,1361,210000,1022,0,0,6,3,6,0,3,0,488,5,41,0,22,22,1590,778200,1507,0,0,5,4,6,0,2,80,968,7,1,1,1,0
96,63,7,7,0,0,0,61,0,4,4,0,0,21,8,1228,7525150,12684696,6040763,0,0,76,10,2,2,0,0,0,10,0,53,35,0,0,19,5,722,0,32,0,0,0,0,0,0,0,0,25,15,0,0,14,0,292,0,1,1,1,0
